dataset,layer_type,structure,experiment,timestep,mean_nnrd,std_nnrd,median_nnrd,q25_nnrd,q75_nnrd,min_nnrd,max_nnrd,n_successful,individual_scores
synth-coupled,gin,False,synth-coupled_gin_structFalse,2,0.010431231848745925,0.01855397217836257,0.004402087303889828,-0.0021339913400573217,0.019981882765121122,-0.008670069984004472,0.035561678226352415,3,"[0.004402087303889828, -0.008670069984004472, 0.035561678226352415]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,3,0.0688332022771812,0.024707050423469813,0.057389740353846815,0.05167685765652234,0.08026781593617287,0.04596397495919787,0.10314589151849891,3,"[0.10314589151849891, 0.057389740353846815, 0.04596397495919787]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,4,0.10116346151244532,0.007527206921353032,0.10219066695107079,0.09683231935688048,0.10600820638732289,0.09147397176269018,0.10982574582357499,3,"[0.10982574582357499, 0.09147397176269018, 0.10219066695107079]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,5,0.10218947321294004,0.014716088700479387,0.09458346082301783,0.09189963995380294,0.10867630027711604,0.08921581908458806,0.12276913973121426,3,"[0.08921581908458806, 0.12276913973121426, 0.09458346082301783]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,6,0.11246873938288628,0.01426453798689695,0.12030164910744635,0.10637712659970204,0.12247680702835056,0.09245260409195773,0.12465196494925478,3,"[0.12030164910744635, 0.12465196494925478, 0.09245260409195773]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,7,0.13699817067156594,0.01428967014640834,0.13449195308967954,0.12768857008806342,0.14505466246412524,0.12088518708644728,0.15561737183857097,3,"[0.13449195308967954, 0.12088518708644728, 0.15561737183857097]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,8,0.14476988821320988,0.009350931132699771,0.147664246981019,0.13990606157323499,0.1510808942370893,0.13214787616545098,0.15449754149315964,3,"[0.147664246981019, 0.13214787616545098, 0.15449754149315964]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,9,0.13383461313601985,0.006901322217340252,0.13837206056024653,0.1312272825048585,0.13871066747929456,0.12408250444947047,0.13904927439834258,3,"[0.12408250444947047, 0.13904927439834258, 0.13837206056024653]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,10,0.14374045021786216,0.008032644684089364,0.14845703546445238,0.14044465410976903,0.14939453894925042,0.13243227275508565,0.1503320424340485,3,"[0.1503320424340485, 0.14845703546445238, 0.13243227275508565]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,11,0.1219060366795879,0.015679979969935205,0.11953757252708065,0.11176686034843018,0.130860980934492,0.10399614816977971,0.14218438934190336,3,"[0.14218438934190336, 0.11953757252708065, 0.10399614816977971]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,12,0.1422051771079155,0.01391593806832415,0.14216067697967005,0.1336723369713976,0.15071576718031066,0.12518399696312515,0.15927085738095123,3,"[0.14216067697967005, 0.15927085738095123, 0.12518399696312515]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,13,0.14475215123158267,0.004754165217413495,0.14350869814709663,0.14158019119996407,0.14730238472095825,0.13965168425283148,0.1510960712948199,3,"[0.1510960712948199, 0.14350869814709663, 0.13965168425283148]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,14,0.13366401582093915,0.007370983969989429,0.12945553124233916,0.1284823184210141,0.13674147093156422,0.12750910559968906,0.14402741062078928,3,"[0.12750910559968906, 0.12945553124233916, 0.14402741062078928]"
