dataset,layer_type,structure,experiment,timestep,mean_nnrd,std_nnrd,median_nnrd,q25_nnrd,q75_nnrd,min_nnrd,max_nnrd,n_successful,individual_scores
synth-easy,gin,False,synth-easy_gin_structFalse,4,-0.2534510940719661,0.004464711475603201,-0.25282447596751245,-0.2560150086569925,-0.25057387043471285,-0.25920554134647256,-0.24832326490191325,3,"[-0.24832326490191325, -0.25282447596751245, -0.25920554134647256]"
synth-easy,gin,False,synth-easy_gin_structFalse,8,-0.2193708434897086,0.005561745341589611,-0.21707331361327734,-0.2220537810162882,-0.2155391410249134,-0.22703424841929903,-0.21400496843654943,3,"[-0.22703424841929903, -0.21400496843654943, -0.21707331361327734]"
synth-easy,gin,False,synth-easy_gin_structFalse,12,-0.21665399513499706,0.008455363074264996,-0.21420929466142544,-0.22111128444807537,-0.21097435558513294,-0.22801327423472528,-0.20773941650884045,3,"[-0.20773941650884045, -0.22801327423472528, -0.21420929466142544]"
synth-easy,gin,False,synth-easy_gin_structFalse,16,-0.20381213775305226,0.0038375195808608995,-0.20375072296884691,-0.20614662479460671,-0.2014469433193951,-0.2085425266203665,-0.1991431636699433,3,"[-0.1991431636699433, -0.20375072296884691, -0.2085425266203665]"
synth-easy,gin,False,synth-easy_gin_structFalse,20,-0.2050224070964435,0.010812343785879976,-0.20621625638678784,-0.21192183923641333,-0.19871989960164585,-0.2176274220860388,-0.19122354281650386,3,"[-0.20621625638678784, -0.2176274220860388, -0.19122354281650386]"
synth-easy,gin,False,synth-easy_gin_structFalse,24,-0.20097694640379346,0.007406039748104814,-0.20489574492096638,-0.2061624872320062,-0.19775080483416715,-0.207429229543046,-0.19060586474736793,3,"[-0.20489574492096638, -0.207429229543046, -0.19060586474736793]"
synth-easy,gin,False,synth-easy_gin_structFalse,28,-0.20822268309210964,0.0074375940268431445,-0.20494692919365506,-0.2117318153383764,-0.20307567389661557,-0.21851670148309774,-0.2012044185995761,3,"[-0.2012044185995761, -0.21851670148309774, -0.20494692919365506]"
synth-easy,gin,False,synth-easy_gin_structFalse,32,-0.2089842302168762,0.007043273263513597,-0.21062035790375222,-0.2136477850860291,-0.20513873919116132,-0.216675212268306,-0.1996571204785704,3,"[-0.216675212268306, -0.21062035790375222, -0.1996571204785704]"
synth-easy,gin,False,synth-easy_gin_structFalse,36,-0.20735245870225794,0.009322056070072842,-0.2067994792791176,-0.21291775998853568,-0.20151066770440998,-0.2190360406979538,-0.19622185612970236,3,"[-0.19622185612970236, -0.2067994792791176, -0.2190360406979538]"
synth-easy,gin,False,synth-easy_gin_structFalse,40,-0.20302580238944198,0.0038003353816897143,-0.2050858161516226,-0.20569028722061977,-0.2013913244393545,-0.2062947582896169,-0.1976968327270864,3,"[-0.2062947582896169, -0.2050858161516226, -0.1976968327270864]"
